3;Dom Giggio Pizzaria e Restaurante Ltda;21 2602-7397;
4;A Mineira Gourmet;21 2639-4254;
7;A Mineira Sao Francisco;21 3611-4150;
11;Aero Lanches;21 2601-9040;
20;Tempero Natural;21 2711-0862;
21;Amarelinho do Trevo;21 2608-7567;
28;Antonios Restaurante;21 2719-3671;
29;Arco Iris Motel;21 2617-6336;
34;Arte e Bear;21 2625-2903;
37;Claudia Nemer;21 2704-2998;
38;Ativa Restaurante;21 2710-4072;
41;Big Point II  ;21 2711-2288;
43;Bar Cobreloa;21 9659-8190;
44;Bar do Caranguejo;21 2639-1046;
46;Bar dos Caldos;21 2610-4738;
51;Beco do Marques;21 2621-4209;
52;Beira Mar Padaria;99942-1596;
55;Bemdito;21 2714-8608;
57;Berbigao;21 2714-4555;
61;Big Point ;21 3701-7218;
64;La Boa Praca;21 2635-3230;
66;Bodega do Norte;21 2703-7504;
68;Boi a Kilo;97006-7494;
69;Boi a Kilo;21 2712-1248;
71;Buon Buffet;21 2608-0801;
77;Cantina Buonasera Icarai;21 2610-2762;
78;Dimattoni Restaurante e Pizzaria;21 2645-3784;
79;Buongiorno Icarai;21 2610-7704;
80;Buzin Icarai;21 2711-5208;
81;Buzin Itaipu;21 2609-4201;
87;Tropical Mix Centro;3617-7300;
89;Caneco 90;21 2601-7090;
90;Caneco Gelado do Mario;21 2620-6787;
91;Cantinho do Sul;21 2703-3337;
103;Celebration Buffet;21 2714-9705;
105;Central de Pendotiba;21 2710-0308;
106;Bar e Lanchonete Cerveja Real;96515-0567;
107;Chale Bar;21 2714-2258;
108;Chale Canoa Velha;21 2619-3581;
109;Chale II Bar;2711-3697;
111;Chanceler Hotel;21 2603-2484;
112;Charlies Bar;21 2635-3184;
115;Chopp Grill;21 2639-0607;
124;Claudio Bastos Gastronomia;21 2263-4355;
125;Buffet Vimavi;21 2711-3200;
126;Clube Portugues de Niteroi;21 2717-4225;
129;Colonial Padaria;2620-5048;
130;Comida e Cia;21 2621-7768;
134;Condominio Chacara do Abaete;21 2704-4443;
135;Country Club de Niteroi;21 2616-1333;
139;D. Norminha;21 2713-3712;
144;Dallas Motel;21 3606-8619;
145;Danta Bar e Restaurante;21 2613-2338;
150;Di Lidia Icarai;21 2714-3883;
151;Di Lidia Itaipuacu;21 2638-3713;
152;Di Lidia Pendotiba;21 2616-3997;
153;Disbrato;21 3712-9886;
154;Doce Luar Buffet;21 2711-8076;
159;Don Nato;21 2701-0566;
160;Dona Santa Inga;21 2704-4594;
163;Dut Massas;21 2711-8938;
169;Estacao da Comida;21 2717-9627;
170;Estacao dos Sabores Centro SG;21 2712-6605;
171;Estrela do Mar;21 7520-4186;
172;Estrela Gaucha;21 2601-8940;
175;Feijao Carregado;21 3711-1659;
176;Verdinho do Fonseca;21 2627-4289;
177;Feiticos da Sogra;21 2709-4648;
179;Festa e Cia;21 2718-2556;
182;Fina Louca;21 2711-1687;
184;Flor do Ceasa;21 3710-7240;
186;Flor do Rink;21 2717-9657;
187;Fogao de Lenha;21 2710-7213;
189;Xis Lanches;21 3605-7215;
192;Galeto;21 2620-2860;
193;Galeto;21 2710-2776;
194;Galeto Cinelandia;21 2717-6503;
195;Galeto Dourado;21 2636-9293;
198;Gardens;21 2612-5305;
200;Garota de Manilha;21 7131-0104;
201;Gauchos da Brescia;21 2635-0862;
202;Gentil - Brinox;21 2771-0901;
206;Glamour Confeitaria - Sape;21 2616-2332;
207;Glamour Confeitaria ;21 2616-0983;
211;Granajor Buffet;21 379744854;
214;Gruta de Capri Icarai;21 2719-6625;
217;Habibs Fonseca;21 2625-1464;
218;Habibs Mutondo;21 2725-7616;
220;Habibs Shopping Sao Goncalo;21 3513-7342;
222;Pensao do Helio;21 2714-1708;
226;High Class;21 2607-0144;
227;Espaco Verde;21 2627-5253;
245;Jambeiro Restaurante;21 2717-7393;
247;Jocas Bar;21 2635-1140;
254;Ki Chopp Alcântara;21 2614-1746;
259;Kit Frango;21 2609-7505;
264;La Verte;21 2717-2716;
266;Las Lenas;21 2608-0621;
267;Le Clarom;21 2607-2062;
268;Peti Caldos e Lanches ;21 3716-1172;
269;Letom Motel;21 2625-8959;
274;Madrilenha;21 2635-2577;
276;Maggiora Niteroi;21 2613-2254;
278;Mamma Mia Santa Catarina;21 2605-8888;
282;Marias e Amelias Buffet;21 2714-6488;
285;Mattinata Icarai;21 3701-0905;
302;Vital Brazil Padaria e Confeitaria;21 2710-0992;
303;Noi Miguel de Frias;21 2729-8080;
304;Paludo Gourmet;5521994650868;https://goo.gl/maps/eTDrrF8rJQFengFr6
305;Família Paludo;5521981705869;https://goo.gl/maps/Kwwn9fQAam68wHfE6
310;New Time Motel;21 2627-6160;
311;Dona Nice;21 2619-4997;
314;Niteroi Grill Churrascaria;21 2717-3955;
316;Xodo da Ilha;96839-9319;
319;Nova Alema;2620-7790;
321;Nova Esperanca;21 2620-4985;
324;Novo Ponto;21 3701-0792;
325;Novo Steak;21 2610-3650;
329;Oasis de Icarai;21 2717-1175;
335;Paloma Motel;21 2603-0527;
336;Pampo Clube;21 2609-5410;
339;Pao e Etc Santa Rosa;21 3603-2410;
340;Pao e Etc Inga;21 2629-5901;
341;Pao e Etc Santa Rosa;2714-4664;
342;Pao e Etc Icarai;21 2620-6646;
343;Pao e Etc Icarai;21 2711-7575;
345;Pargo Pizzaria;21 2620-1750;
350;Nova Cidade Grill;21 2614-1175;
356;Clube da Pizza;21 96777-5441;
361;Porcao Magica Pendotiba;21 2616-2395;
363;Bendito Formigueiro;21 3858-0699;
364;Portugas Bar e Restaurante;21 2604-9397;
368;Primavera Hotel;21 2603-2481;
374;Rafamar;21 2621-8563;
381;Rei da Picanha ;21 2619-3861;
386;Restaurante Jardim Icarai;21 2704-6867;
391;Rio Cricket;21 9887-9660;
392;Rio Yatch Club;21 3732-7310;
393;Riviera Bar;21 2719-2181;
395;Rodo Grill;21 2605-6338;
396;Roger Pizzaria;21 2712-4022;
397;Romario Arruda;21 2602-5146;
398;Rosane Ramos Buffet;21 8153-7874;
401;Sabor da Hora;21 2717-7978;
409;Santa Monica;21 2635-4099;
413;Bom Peixe;21 2722-3520;
418;Seven Grill Delivery Icarai;21 2610-7000;
419;Seven Grill Icarai;21 2612-0730;
420;Seven Grill Itaipu;21 2609-6061;
421;Seven Grill Sao Francisco;21 2715-1593;
423;Siri I;21 2611-3041;
426;Sobradinho do Sabor;21 3119-0868;
429;Solucoes Festas;21 3614-3344;
431;Sorriso Hotel;21 2618-0889;
432;Spazio Buffet;21 2601-2405;
433;Sports Bar;21 2704-6298;
